epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,584.844,0.68748,0.51084,0.88725,0.90346,0.86113,0.92517,0.77022,0.6453,0.42501,0.89057,0.000396265,0.000396265,0.000396265
43,595.22,0.70035,0.52243,0.88489,0.91569,0.85293,0.92974,0.77374,0.62709,0.41254,0.88838,0.000389661,0.000389661,0.000389661
44,605.644,0.67829,0.50052,0.88482,0.90174,0.85468,0.92604,0.7736,0.63481,0.41944,0.8878,0.000383058,0.000383058,0.000383058
45,615.838,0.66942,0.49527,0.88401,0.90686,0.85325,0.93259,0.76799,0.6491,0.41221,0.88984,0.000376455,0.000376455,0.000376455
46,626.131,0.67548,0.50421,0.87961,0.92054,0.84639,0.93001,0.77848,0.63145,0.41309,0.88708,0.000369851,0.000369851,0.000369851
47,636.448,0.6517,0.48876,0.87703,0.9095,0.85758,0.9341,0.78254,0.63579,0.4012,0.88631,0.000363248,0.000363248,0.000363248
48,646.679,0.65493,0.48558,0.87793,0.90913,0.86003,0.93229,0.77916,0.62553,0.40361,0.88679,0.000356645,0.000356645,0.000356645
49,657.017,0.63784,0.48784,0.87099,0.89364,0.87105,0.93453,0.78201,0.61944,0.39406,0.88044,0.000350042,0.000350042,0.000350042
50,667.397,0.64205,0.48336,0.87245,0.90492,0.86546,0.93206,0.78016,0.60931,0.39719,0.88246,0.000343438,0.000343438,0.000343438
51,677.698,0.6687,0.4945,0.87655,0.90989,0.86488,0.93298,0.78513,0.6012,0.38905,0.88031,0.000336835,0.000336835,0.000336835
52,687.835,0.63115,0.47557,0.87428,0.90472,0.85635,0.93234,0.79054,0.5983,0.39819,0.87426,0.000330232,0.000330232,0.000330232
53,698.126,0.64806,0.4776,0.87235,0.90857,0.85365,0.93171,0.78292,0.59315,0.39547,0.87664,0.000323628,0.000323628,0.000323628
54,708.486,0.61731,0.46779,0.87038,0.90241,0.87013,0.93427,0.78962,0.59802,0.39246,0.87618,0.000317025,0.000317025,0.000317025
55,718.678,0.6283,0.46815,0.87412,0.91908,0.85749,0.9364,0.79482,0.5863,0.38115,0.87503,0.000310422,0.000310422,0.000310422
56,728.926,0.62966,0.46964,0.86966,0.92246,0.85823,0.93619,0.78891,0.59582,0.3814,0.878,0.000303818,0.000303818,0.000303818
57,739.342,0.62627,0.46455,0.86988,0.90323,0.87623,0.93978,0.79844,0.58026,0.36942,0.86858,0.000297215,0.000297215,0.000297215
58,749.697,0.6018,0.44966,0.86479,0.90966,0.86582,0.93545,0.79466,0.574,0.38123,0.86946,0.000290612,0.000290612,0.000290612
59,759.919,0.60688,0.45743,0.86843,0.9294,0.85017,0.93661,0.79235,0.57852,0.37713,0.87306,0.000284009,0.000284009,0.000284009
60,770.364,0.61232,0.45656,0.85862,0.91732,0.87019,0.9386,0.7956,0.58174,0.3796,0.8747,0.000277405,0.000277405,0.000277405
61,780.82,0.61084,0.45528,0.86353,0.90829,0.85979,0.93391,0.79416,0.57934,0.3787,0.87332,0.000270802,0.000270802,0.000270802
62,792.621,0.59209,0.45265,0.8608,0.90296,0.87789,0.93514,0.79348,0.56902,0.37549,0.86991,0.000264199,0.000264199,0.000264199
63,804.276,0.60174,0.44427,0.86041,0.91656,0.8615,0.93553,0.79496,0.56898,0.37414,0.86806,0.000257595,0.000257595,0.000257595
64,816,0.59125,0.4432,0.86119,0.91062,0.86079,0.93581,0.79587,0.55959,0.37145,0.86878,0.000250992,0.000250992,0.000250992
65,827.685,0.60077,0.4415,0.85872,0.91303,0.86124,0.93597,0.79628,0.56331,0.3713,0.86575,0.000244389,0.000244389,0.000244389
66,839.582,0.57216,0.43414,0.85654,0.90519,0.8673,0.9373,0.80294,0.56128,0.37114,0.86622,0.000237785,0.000237785,0.000237785
67,851.556,0.58048,0.43769,0.85966,0.8991,0.8699,0.93741,0.8026,0.55771,0.37042,0.86779,0.000231182,0.000231182,0.000231182
68,863.185,0.58443,0.43718,0.85909,0.90418,0.86952,0.93901,0.80505,0.55496,0.36232,0.86496,0.000224579,0.000224579,0.000224579
69,874.676,0.5805,0.43337,0.85759,0.9243,0.85969,0.9379,0.79756,0.55962,0.36071,0.86642,0.000217976,0.000217976,0.000217976
70,886.223,0.56153,0.42426,0.85732,0.90962,0.86984,0.93714,0.80143,0.55753,0.36718,0.86953,0.000211372,0.000211372,0.000211372
71,898.221,0.5663,0.42698,0.85235,0.90008,0.87889,0.93696,0.80194,0.54633,0.36555,0.86628,0.000204769,0.000204769,0.000204769
72,909.815,0.56137,0.4218,0.85189,0.9076,0.868,0.94077,0.80803,0.54511,0.35679,0.86202,0.000198166,0.000198166,0.000198166
73,921.235,0.56312,0.42305,0.85245,0.92407,0.85664,0.94006,0.80776,0.53951,0.35554,0.86102,0.000191562,0.000191562,0.000191562
74,932.528,0.54474,0.40819,0.85142,0.9003,0.87042,0.93711,0.80969,0.54156,0.35992,0.86204,0.000184959,0.000184959,0.000184959
75,943.974,0.55619,0.41355,0.84926,0.93216,0.84661,0.93883,0.80832,0.5331,0.3543,0.86291,0.000178356,0.000178356,0.000178356
76,955.812,0.54958,0.40169,0.85108,0.90235,0.87421,0.94081,0.80652,0.54301,0.35027,0.86347,0.000171752,0.000171752,0.000171752
77,967.573,0.55295,0.41708,0.84916,0.89083,0.87972,0.94033,0.8136,0.53932,0.355,0.86233,0.000165149,0.000165149,0.000165149
78,978.991,0.55132,0.41788,0.85091,0.90525,0.86812,0.94158,0.81366,0.52761,0.35167,0.85967,0.000158546,0.000158546,0.000158546
79,990.482,0.55325,0.40717,0.85007,0.91196,0.8657,0.93761,0.8063,0.5279,0.35051,0.86059,0.000151943,0.000151943,0.000151943
80,1001.89,0.54432,0.40634,0.84752,0.90782,0.86576,0.9391,0.80858,0.52934,0.35242,0.86295,0.000145339,0.000145339,0.000145339
81,1014,0.53745,0.40307,0.84557,0.9115,0.86572,0.93955,0.81177,0.52889,0.35533,0.86124,0.000138736,0.000138736,0.000138736
82,1025.75,0.52909,0.40179,0.84641,0.91276,0.85831,0.94092,0.81122,0.52495,0.35179,0.86077,0.000132133,0.000132133,0.000132133
83,1037.14,0.52171,0.39112,0.8453,0.91287,0.85962,0.93989,0.80918,0.51866,0.34695,0.85789,0.000125529,0.000125529,0.000125529
84,1048.08,0.5277,0.39939,0.84805,0.91004,0.8618,0.93945,0.80853,0.52845,0.35267,0.86045,0.000118926,0.000118926,0.000118926
85,1059.02,0.52397,0.39809,0.84227,0.92603,0.84429,0.93948,0.81424,0.5136,0.34829,0.86186,0.000112323,0.000112323,0.000112323
86,1069.69,0.52628,0.39979,0.84671,0.90401,0.86729,0.94026,0.81304,0.50881,0.34468,0.8576,0.00010572,0.00010572,0.00010572
87,1080.73,0.51738,0.38884,0.84346,0.90698,0.86293,0.9392,0.81271,0.51178,0.34483,0.85889,9.91162e-05,9.91162e-05,9.91162e-05
88,1092.03,0.52034,0.38828,0.84423,0.90981,0.85875,0.94158,0.81862,0.51292,0.34506,0.85857,9.25129e-05,9.25129e-05,9.25129e-05
89,1104.01,0.51556,0.38963,0.83988,0.89368,0.87834,0.94018,0.81535,0.51197,0.34361,0.85799,8.59096e-05,8.59096e-05,8.59096e-05
90,1115.85,0.51626,0.38458,0.84386,0.90526,0.87542,0.94332,0.81942,0.50932,0.33933,0.85829,7.93063e-05,7.93063e-05,7.93063e-05
